prompt,tier,domain
Extract all email addresses from this text: Contact us at support@company.com or sales@firm.io for help.,1,customer_support
Reformat this date from MM/DD/YYYY to DD-MM-YYYY: 06/17/2026,1,data
Is the following sentence grammatically correct? Reply with only yes or no. Sentence: She dont like coffee.,1,customer_support
"What is the name field in this JSON: {name: John, age: 30}",1,data
Convert this date from MM/DD/YYYY to DD-MM-YYYY: 12/25/2025,1,data
Is the following text in English? Reply yes or no. Text: Bonjour le monde,1,customer_support
Extract all phone numbers from this text: Call me at 555-123-4567 or (555) 987-6543,1,customer_support
"Reformat this CSV data to a bulleted list: name,age,city John,30,NYC",1,data
Count the number of words in this sentence: The quick brown fox jumps over the lazy dog,1,data
Extract the URL from this text: Visit our website at https://example.com for more info,1,customer_support
Convert this temperature from Celsius to Fahrenheit: 25C,1,data
Is the word running a verb? Answer yes or no.,1,customer_support
Extract the product price from this text: The laptop costs 999.99,1,data
"Reformat this name to last name, first name: John Smith",1,data
Extract all dates from this text: Meeting on 01/15/2024 and 02/20/2024,1,data
Convert this number to words: 42,1,data
Is this email valid? support@company.com. Answer yes or no.,1,customer_support
"Extract the city from this address: 123 Main St, Boston, MA 02101",1,data
Reformat this phone number to (xxx) xxx-xxxx: 5551234567,1,data
Count the number of vowels in this word: encyclopedia,1,data
Extract the domain name from this email: user@example.org,1,data
Is this a palindrome? racecar Answer yes or no.,1,data
Convert this time from 12-hour to 24-hour format: 3:30 PM,1,data
Extract all hashtags from this text: Great day! #happy #sunny #fun,1,customer_support
"Reformat this list to a comma-separated string: apple, banana, orange",1,data
Count the number of sentences in this text: Hello. How are you? Im fine.,1,data
"Extract the zip code from this address: 123 Main St, Boston, MA 02101",1,data
Is the number 17 prime? Answer yes or no.,1,data
Convert this fraction to decimal: 3/4,1,data
Extract the first name from this full name: Michael Johnson,1,data
"Reformat this JSON to a simple list: {a:1,b:2,c:3}",1,data
"Count the number of commas in this text: apple, banana, orange, grape",1,data
"Extract the title from this text: Dr. Jane Smith, PhD",1,customer_support
Convert this text to uppercase: hello world,1,data
Is this a valid credit card number? 4111-1111-1111-1111. Answer yes or no.,1,customer_support
Extract the quantity from this text: 5 apples in the basket,1,data
Reformat this date from YYYY-MM-DD to MM/DD/YYYY: 2024-01-15,1,data
Count the number of characters in this string: Hello World!,1,data
Extract the hashtag from this text: I love #coding!,1,customer_support
Convert this text to lowercase: HELLO WORLD,1,data
Reformat this email to name@domain: John Doe <john@company.com>,1,customer_support
Count the number of spaces in this text: Hello world how are you,1,data
Extract the file extension from this filename: document.pdf,1,data
Is this number even? 24. Answer yes or no.,1,data
Convert this binary to decimal: 1010,1,data
Extract the currency from this text: The price is 50 euros,1,customer_support
"Reformat this list to alphabetical order: zebra, apple, mango",1,data
Count the number of syllables in this word: beautiful,1,data
Extract the emoji from this text: Im happy,1,customer_support
Convert this Roman numeral to decimal: XIV,1,data
Is this a valid URL? https://google.com. Answer yes or no.,1,customer_support
Extract the first word from this sentence: Hello world from AI,1,data
Reformat this number with commas: 1000000,1,data
